XNSE/MANJEERA_UADJ,Manjeera Constructions Ltd (EQMANJEERA) Unadjusted Stock Prices
XNSE/PTC_UADJ,PTC India Ltd. (EQPTC) Unadjusted Stock Prices
XNSE/MAHABANK_UADJ,Bank of Maharashtra (EQMAHABANK) Unadjusted Stock Prices
XNSE/MOLDTKPAC_UADJ,Moldtek Packaging Ltd (EQMOLDTKPAC) Unadjusted Stock Prices
XNSE/DLINKINDIA_UADJ,D-Link (India) Ltd. (EQDLINKINDIA) Unadjusted Stock Prices
XNSE/FARMAXIND_UADJ,Farmax India Ltd (EQFARMAXIND) Unadjusted Stock Prices
XNSE/MHRIL_UADJ,Mahindra Holidays & Resorts India Limited (EQMHRIL) Unadjusted Stock Prices
XNSE/EMAMIINFRA_UADJ,Emami Infrastructure Ltd (EQEMAMIINFRA) Unadjusted Stock Prices
XNSE/HISARMETAL_UADJ,Hisar Metal Industries Ltd. (EQHISARMETAL) Unadjusted Stock Prices
XNSE/PONDYOXIDE_UADJ,Pondy Oxides & Chemicals Ltd. (EQPONDYOXIDE) Unadjusted Stock Prices
XNSE/TERASOFT_UADJ,Tera Software Ltd. (EQTERASOFT) Unadjusted Stock Prices
XNSE/EXCEL_UADJ,Excel Realty N Infra Ltd (EQEXCEL) Unadjusted Stock Prices
XNSE/DISHMAN_UADJ,Dishman Pharmaceuticals & Chemicals Ltd. (EQDISHMAN) Unadjusted Stock Prices
XNSE/RKFORGE_UADJ,Ramkrishna Forgings Ltd. (EQRKFORGE) Unadjusted Stock Prices
XNSE/RAJOIL_UADJ,Raj Oil Mills Ltd (EQRAJOIL) Unadjusted Stock Prices
XNSE/DATAMATICS_UADJ,Datamatics Global Services Ltd (EQDATAMATICS) Unadjusted Stock Prices
XNSE/ADANIPOWER_UADJ,Adani Power Limited (EQADANIPOWER) Unadjusted Stock Prices
XNSE/NHPC_UADJ,NHPC Limited (EQNHPC) Unadjusted Stock Prices
XNSE/BFINVEST_UADJ,BF Investment Ltd (EQBFINVEST) Unadjusted Stock Prices
XNSE/JINDCOT_UADJ,Jindal Cotex Limited. (EQJINDCOT) Unadjusted Stock Prices
XNSE/RNAVAL_UADJ,Reliance Naval & Engineering Ltd. (EQRNAVAL) Unadjusted Stock Prices
XNSE/VISHALEXPO_UADJ,Vishal Exports Overseas Ltd. (EQVISHALEXPO) Unadjusted Stock Prices
XNSE/NDTV_UADJ,New Delhi Television Ltd. (EQNDTV) Unadjusted Stock Prices
XNSE/GLOBUSSPR_UADJ,Globus Spirits Ltd (EQGLOBUSSPR) Unadjusted Stock Prices
XNSE/W1HDFC_1_UADJ,HDFC Bank Ltd. (W1HDFC) Unadjusted Stock Prices
XNSE/JSWENERGY_UADJ,JSW Energy Ltd (EQJSWENERGY) Unadjusted Stock Prices
XNSE/OIL_UADJ,Oil India Ltd (EQOIL) Unadjusted Stock Prices
XNSE/E3ELGIEQUIP_UADJ,Elgi Equipments Ltd. (E3ELGIEQUIP) Unadjusted Stock Prices
XNSE/JPASSOCIAT_UADJ,Jaiprakash Associates Ltd. (EQJPASSOCIAT) Unadjusted Stock Prices
XNSE/EUROMULTI_UADJ,Euro Multivision Ltd (EQEUROMULTI) Unadjusted Stock Prices
XNSE/SQSBFSI_UADJ,SQS India BFSI Ltd (EQSQSBFSI) Unadjusted Stock Prices
XNSE/KOJAMFIN_UADJ,Kojam Fininvest Ltd. (EQKOJAMFIN) Unadjusted Stock Prices
XNSE/TCS_UADJ,Tata Consultancy Services (EQTCS) Unadjusted Stock Prices
XNSE/RTNPOWER_UADJ,RattanIndia Power Ltd. (EQRTNPOWER) Unadjusted Stock Prices
XNSE/SETFGOLD_UADJ,SBI Funds Management Private Limited (EQSETFGOLD) Unadjusted Stock Prices
XNSE/SAMRUDDHI_UADJ,Samrudhhi Cement Ltd (EQSAMRUDDHI) Unadjusted Stock Prices
XNSE/MCLEODRUSS_UADJ,McLeod Russel India Ltd (EQMCLEODRUSS) Unadjusted Stock Prices
XNSE/CNOVAPETRO_UADJ,CIL Nova Petrochemicals Ltd (EQCNOVAPETRO) Unadjusted Stock Prices
XNSE/KBIL_UADJ,Kirloskar Brothers Investments Ltd (EQKBIL) Unadjusted Stock Prices
XNSE/W1GREENPLY_UADJ,Greenply Industries Ltd. (W1GREENPLY) Unadjusted Stock Prices
XNSE/DEN_UADJ,Den Networks Limited (EQDEN) Unadjusted Stock Prices
XNSE/ASTEC_UADJ,Astec Lifesciences Limited (EQASTEC) Unadjusted Stock Prices
XNSE/E1TV_18_UADJ,Television Eighteen India Ltd. (E1TV-18) Unadjusted Stock Prices
XNSE/W1FORTIS_UADJ,Fortis Healthcare Ltd (W1FORTIS) Unadjusted Stock Prices
XNSE/KICL_UADJ,Kalyani Investment Co Ltd (EQKICL) Unadjusted Stock Prices
XNSE/MBLINFRA_UADJ,MBL Infrastructures Limited (EQMBLINFRA) Unadjusted Stock Prices
XNSE/E1WWIL_UADJ,Siti Cable Network Ltd. (E1WWIL) Unadjusted Stock Prices
